id_umkm,nama_umkm,kategori_umkm,lokasi,produk_utama,sumber_data,no_ulasan,ulasan_asli,ulasan_preprocessed,prediksi_sentimen,confidence_positif,confidence_negatif,aspek_kualitas,aspek_packaging,aspek_harga,aspek_pengiriman
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),11,"Batik Banyumas yang berkualitas. Ada harga, ada kualitas, Batik tulisnya keren keren, Harganya terjangkau, batiknya bagus dan keren",batik banyumas kualitas harga kualitas batik tulis keren keren harga jangkau batik bagus keren,Positive,0.9991,0.0009,True,False,True,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),12,"asli tulis/handmade,,tempatnya nyaman dengan pemandangan sungai serayu",asli tulis handmade tempat nyaman pandang sungai rayu,Positive,0.9247,0.0753,True,True,False,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),13,cocok untuk wisata edukasi batik,cocok wisata edukasi batik,Positive,0.8868,0.1132,False,False,False,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),14,Pilihan batiknya banyak dan bagus2..harganya sesuai sama kebagusan motif batiknya. Lokasi galerinya agak terpencil tapi cukup luas parkir maupun galerinya itu sendiri,pilih batik bagus harga sesuai bagus motif batik lokasi galeri pencil luas parkir galeri,Positive,0.9936,0.0064,True,False,True,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),15,Buat yang nyari batik Banyumas yg original (asli lukisan dan pewarnaan orang Banyumas)  tempat ini salah satu yg recomended. Sering bawa tamu dr dalam dan luar negeri,nyari batik banyumas original asli lukis warna orang banyumas salah recomended bawa tamu dr negeri,Positive,0.1488,0.8512,True,False,False,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),16,rata2 komentarnya puas. Bisa terima non tunai juga... Ada mesin EDC nya juga. Ada toilet. Bisa melihat orang produksi sambil memandangi indahnya sungai serayu.,komentar puas non tunai mesin edc toilet orang produksi pandang indah sungai rayu,Positive,0.2325,0.7675,True,False,False,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),1,"Jangan sampai kelupaan ketika berkunjung ke daerah ini, belilah oleh-oleh untuk saudara-saudara Anda. Nopia ini sangat enak dan harganyapun tidak mahal seperti oleh-oleh pada umumnya. Dijamin khalal makanan ini. Kemasannya bagus dan mudah dibawa kemana-mana. Hanya saja untuk tempat penjual ini kurang bisa dilihat dalam keadaan lalu lintas ramai. Mungkin karna plang toko yang kecil atau belum sebuming oleh-oleh yang lain.",jangan lupa kunjung daerah bilah saudara saudara nopia enak harga tidak mahal jamin khalal makan kemas bagus mudah bawa mana jual kurang lintas ramai plang toko belum sebuming,Negative,0.2748,0.7252,True,True,True,True
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),2,"Kurang memuaskan, karena harus bayar parkir, karena saya sering bgt beli di alfamart, jadi setiap ke situ harus bayar parkir sepertinya males bgt jadinya belanja di situ. Saran saja kalo bisa jgn ada tukang parkirnya, kurang nyaman karena itu sepertinya ilegal.",kurang muas bayar parkir beli alfamart situ bayar parkir males belanja situ saran kalo jgn tukang parkir kurang nyaman ilegal,Negative,0.0149,0.9851,True,True,True,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),3,"Bisa liat langsung pembuatan nya..menarik, pelayanan nya baik",liat langsung buat tarik layan,Negative,0.3305,0.6695,False,False,False,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),4,"Tempat produksi sekaligus belanja nopia & mino yang legendaris di kota Banyumas, jajanan yang recommended untuk oleh - oleh bila berkunjung ke tempat saudara. Ada berbagai varian rasa, rasa gula jawa, rasa duren dan lainya, harganya cukup terjangkau, packingnya bagus. Lokasinya berada di pinggir jalan sehingga mudah di akses.",produksi belanja nopia mino legendaris kota banyumas jajan recommended kunjung saudara varian gula jawa duren lai harga jangkau packingnya bagus lokasi pinggir jalan mudah akses,Positive,0.9719,0.0281,True,True,True,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),5,"Ga suka dgn pelayqnan ga ramah,sombong mentang lg rame",ga suka pelayqnan ga ramah sombong mentang lg rame,Negative,0.1322,0.8678,False,False,False,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),6,"Citarasa nopia dan mino yg khas dan enak, ownernya juga baik banget, kita bawa rombongan anak2 kesana untuk melihat pembuatanya juga disambut dengan baik. Trimakasih atas sambutan hangatnya",citarasa nopia mino khas enak ownernya bawa rombong anak kesana pembuatanya sambut trimakasih sambut hangat,Positive,0.8537,0.1463,True,False,False,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),7,"Makanan khas yang saya sukai sejak kecil. Enak, manis, dan unik karena kopong bagian dalamnya. Baru tau kalo ternyata makanan khas dari Banyumas. Benar-benar legend makanan khas yang satu ini. Hampir di setiap toko oleh-oleh di berbagai kota selalu ada nopia. Generasi kedua yang sekarang menghandle nopia pak Narwan. Semoga sukses, berkah dunia akhirat.",makan khas suka enak manis unik kopong dalam tau kalo makan khas banyumas legend makan khas toko kota nopia generasi menghandle nopia narwan moga sukses berkah dunia akhirat,Positive,0.9127,0.0873,False,False,False,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),8,"Tempat ini butuh dibersihkan, bro... yang lainnya bagus…",butuh bersih bro bagus,Negative,0.9768,0.0232,True,False,False,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),9,"Nopia nya top markotop. Fresh from the oven. Ada rasa duren, gula aren, coklat, nanas, brambang! Wah rasa nanas nya ok bgt. Cuma ada di Jogja dan Bandung. Kalo di Jakarta biasanya cuma ada rasa gula aren n coklat. Wajib banget kalo k Purwokerto, mampir ke Pak Narwan di Banyumas. Cuma 15 km dari Purwokerto alias 30 - 40 menit dg mobil. Yang melayani juga ramah. Harus lah ke Nopia pak Narwan. Oleh2 yg pas.",nopia top markotop fresh from the oven duren gula aren coklat nanas brambang nanas ok jogja bandung kalo jakarta gula aren coklat wajib kalo purwokerto mampir narwan banyumas km purwokerto alias menit mobil layan ramah nopia narwan pas,Positive,0.6936,0.3064,True,False,False,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),10,"Tempat oleh oleh ter favorit walaupun sederhana dan hanya rumahan, produk produknya sangat berkualitas baik dan enak",ter favorit sederhana rumah produk produk kualitas enak,Positive,0.9368,0.0632,True,False,False,False
R002,Nopia & Mino Pak Narwan,Kuliner,Kecamatan Banyumas (Desa Pekunden),"Nopia (ukuran besar) dan Mino (Mini Nopia) dengan isian orisinal gula jawa serta varian rasa lain seperti bawang goreng, susu, cokelat, dan durian.",Google Maps (manual),11,"Nyaman menyenangkan dan unik,makanan spesifik dan super enaaak.",nyaman senang unik makan spesifik super enaaak,Positive,0.9942,0.0058,False,True,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),1,"Satu-satunya tempat yang sukses bikin oleh-oleh tradisional jadi kelihatan modern tanpa ngilangin rasa aslinya. Harganya jujur, kualitasnya terjaga. Pokoknya, jangan lupa mampir ke Pusat Oleh-Oleh Khas Ngapak biar pengalamanmu di Purwokerto makin lengkap!",satu sukses bikin tradisional modern tanpa ngilangin asli harga jujur kualitas jaga pokok jangan lupa mampir pusat khas ngapak biar alam purwokerto lengkap,Positive,0.9032,0.0968,True,True,True,True
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),2,"Tempat Ngapak pusat oleh-oleh khas Purwokerto yang lengkap dan nyaman. Menyediakan berbagai camilan seperti getuk goreng, nopia-mino, dan mendoan instan dengan kemasan menarik. Tempatnya bersih, pelayanannya ramah, dan cocok untuk berburu buah tangan. Rekomendasi terbaik saat berkunjung ke Purwokerto. #pusat oleh oleh khas purwokerto",ngapak pusat khas purwokerto lengkap nyaman sedia camil getuk goreng nopia mino mendoan instan kemas tarik tempat bersih layan ramah cocok buru buah tangan rekomendasi baik kunjung purwokerto khas purwokerto,Positive,0.9604,0.0396,True,True,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),3,"Pusat oleh-oleh khas Purwokerto
Tempatnya nyaman, bersih, merchandise lucu-lucu.",pusat khas purwokerto tempat nyaman bersih merchandise lucu lucu,Positive,0.9777,0.0223,True,True,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),4,"yang cari merch khas purwokerto wajib banget ke ""NGAPAK (Pusat oleh-oleh khas Purwokerto), merchnya unik dari mulai gantungan kunci, totebag dan kaos yang designnya otentik, kakaknya ramah dan tempatnya bersih banget!",cari merch khas purwokerto wajib ngapak pusat khas purwokerto merchnya unik gantung kunci totebag kaos designnya otentik kakak ramah tempat bersih,Positive,0.7526,0.2474,True,False,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),5,"Tempat Ngapak pusat oleh-oleh khas Purwokerto yang lengkap dan nyaman. Menyediakan berbagai camilan seperti getuk goreng, nopia-mino, dan mendoan instan dengan kemasan menarik.
Tempatnya bersih, pelayanannya ramah, dan cocok untuk berburu buah tangan. Rekomendasi terbaik saat berkunjung ke Purwokerto.
#pusat oleh oleh khas purwokerto",ngapak pusat khas purwokerto lengkap nyaman sedia camil getuk goreng nopia mino mendoan instan kemas tarik tempat bersih layan ramah cocok buru buah tangan rekomendasi baik kunjung purwokerto khas purwokerto,Positive,0.9604,0.0396,True,True,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),6,"Tempatnyaa nyaman, kasir ramah. Anti mainstream bgt jualannya. Cocok buat yg cari oleh2 lain selain getuk dan mendoan",tempatnyaa nyaman kasir ramah anti mainstream jual cocok cari getuk mendoan,Positive,0.9645,0.0355,False,True,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),7,"Banyak pilihan oleh oleh khas purwokerto, ada pilihan baju baju dengan tulisan lucu-lucu, staff nya ramah banget, tempatnya bersih.. kusuka..",pilih khas purwokerto pilih baju baju tulis lucu lucu staff ramah tempat bersih suka,Positive,0.9711,0.0289,True,False,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),8,"Pelayanan sangat ramahh
Untuk oleh² bervariasi dan tersedia tester
Banyak pilihan kaos untuk oleh², bahan berkualitas
Rekomended untuk belanja oleh²",layan ramahh oleh variasi sedia tester pilih kaos oleh bahan kualitas rekomended belanja oleh,Positive,0.9478,0.0522,True,False,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),9,"pusatt oleh olehhh palinggg josss yaituu adaa diii ngapak store Purwokerto,di jaminnn barangnya memuaskan, banyakk banget pilihannya dan tempatnya yangg nyamann,di jaminn puas,ngapakk store okeee",pusatt olehhh palinggg josss yaituu adaa diii ngapak store purwokerto jaminnn barang muas banyakk pilih tempat yangg nyamann jaminn puas ngapakk store okeee,Positive,0.7886,0.2114,True,True,False,False
R003,NGAPAK (Pusat Oleh-Oleh Khas Purwokerto),Fashion,Purwokerto Barat,"Mendoan, getuk goreng, keripik, oleh-oleh khas Banyumas",Google Maps (manual),10,"Pelayanan bagus dan ramah,desain di baju totebag dan ganci menarik menarik tempat nya juga bersih.#pusat oleh oleh purwokerto",layan bagus ramah desain baju totebag ganci tarik tarik bersih purwokerto,Positive,0.973,0.027,True,False,False,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),1,"lokasi strategis, porsi g terlalu banyak karna mangkoknya kecil, harga lumayan mahal karna pakai ayam kampung, rasa B aja (menurut lidah saya) bukan g enak tapi kaya kurang mantep",lokasi strategis porsi mangkok harga lumayan mahal pakai ayam kampung lidah bukan enak kaya kurang mantep,Negative,0.0405,0.9595,True,False,True,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),2,"Soto legend berumur 100 tahun. Dimasak pakai tungku, isinya ayam kampung, ketupat, toge dan daun bawang. Makannya pakai sambal kacang sedap bener walaupun porsi terlihat kecil tapi mengenyangkan. Tempatnya juga bersih.",soto legend umur masak pakai tungku isi ayam kampung ketupat toge daun bawang makan pakai sambal kacang sedap bener porsi kenyang tempat bersih,Positive,0.394,0.606,False,False,False,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),3,"Soto Banyumasan yang klasik. Soto ayam dengan karbo berupa ketupat. Sotonya masih dimasak dengan kayu bakar. Rasanya sebenarnya simpel jika dibandingkan dengan soto lain di Banyumas. Tetapi rasanya masih oke lah. Kalau tidak ditambahkan sambal kacang, rasanya agak kurang. Kalau dikasih sambal kacang baru enak. Sayangnya di sini tidak ada gorengan.",soto banyumasan klasik soto ayam karbo ketupat soto masak kayu bakar simpel banding soto banyumas oke tidak sambal kacang kurang kasih sambal kacang enak sayang tidak goreng,Positive,0.329,0.671,True,False,False,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),4,Rasa tidak seenak dulu dan harga saya rasa terlalu mahal buat soto dgn porsi kecil yg spt itu. Juga tidak adanya lahan parkir yg membuat susah bila mau mengunjungi warung ini,tidak enak harga mahal soto porsi spt tidak lahan parkir susah unjung warung,Negative,0.003,0.997,True,False,True,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),5,Makanan biasa aja. Harga termasuk mahal klo di kampung,makan harga mahal klo kampung,Negative,0.0234,0.9766,False,False,True,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),6,Harga relatif mahal dengan rasa yang biasa saja (ga spesial),harga relatif mahal ga spesial,Negative,0.0524,0.9476,True,False,True,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),7,Mahal,mahal,Negative,0.0373,0.9627,False,False,True,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),8,Makanan biasa aja.harga termasuk mahal klo di kampung,makan harga mahal klo kampung,Negative,0.0234,0.9766,False,False,True,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),9,"Soto nya manis, spt nya tidak menggunakan vetsin atau penyedap rasa dan lbh mengandalkan gula sbg penyedap dan kuah kurang panas.
Ketika mencoba tambah garam malah rasanya jadi aneh.

Utk penikmat soto dgn rasa yg gurih, agak kurang cocok.",soto manis spt tidak vetsin sedap lbh andal gula sbg sedap kuah kurang panas coba garam aneh nikmat soto gurih kurang cocok,Negative,0.0025,0.9975,True,False,False,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),10,"Kalo tanpa sambal kacangnya tawar menurut saya, harga semangkok kecil dengan 4 potong kupat Rp 16.000, menurut saya mahal. Cukup sekali.",kalo tanpa sambal kacang tawar harga semangkok potong kupat rp mahal,Negative,0.1037,0.8963,False,False,True,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),11,"Soto ayam yang nikmat, dengan suasana jadul yang legendaris.. Membuat kita seperti kembali ke tempo dulu.",soto ayam nikmat suasana jadul legendaris tempo,Positive,0.4722,0.5278,False,False,False,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),12,Enak lhoo yaa.. soto banyumas… mangkoknya kecil macam mangkuk dawet kalo di jogja. Trusnya kuahnya kuning.. kacangnya utuh. Sambalnya sambal kacang… jadi kalo tidak biasa makan sroto.. cobain soto disini… soto disini tidak seperti sroto2 di purwokerto atau tempat lain.. Utk harga jangan kaget c.. Buat warga jagja solo boyolali semarang.. yang biasa makan soto semangkuk 10ribu bahkan kurang… soto di banyumas yang legend rata harga 20rb keatas.. hahaha..,enak lhoo yaa soto banyumas mangkok mangkuk dawet kalo jogja trusnya kuah kuning kacang utuh sambal sambal kacang kalo tidak makan sroto cobain soto soto tidak sroto purwokerto harga jangan kaget warga jagja solo boyolali semarang makan soto semangkuk ribu kurang soto banyumas legend harga rb atas hahaha,Positive,0.0017,0.9983,True,False,True,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),13,"Rasa sotonya enak, walaupun bukan yang paling enak, yang dirasakan saat makan disini adalah nostalgia nya, dulu pernah makan disini saat masih SD, masaknya pun masih menggunakan tungku kayu bakar",soto enak bukan enak rasa makan nostalgia makan sd masak tungku kayu bakar,Positive,0.3568,0.6432,True,False,False,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),14,"Selalu kesini kalau ke banyumas, soto nya enakkk.. rasa tidak pernah berubah dari jaman masih SD",kesini banyumas soto enakkk tidak ubah jaman sd,Positive,0.074,0.926,True,True,False,False
R004,Soto Sangka Banyumas,Kuliner,Banyumas,"Soto, makanan khas Purwokerto, dan minuman",Google Maps (manual),15,"Istimewa , rasanya mantap .",istimewa mantap,Positive,0.9999,0.0001,True,False,False,False
R005,"Kopi Kami, Untuk Kamu",Kuliner,Purwokerto Utara,"Kopi, minuman espresso based, makanan ringan, dan menu kafe",Google Maps (manual),1,"Lokasinya strategis, tempatnya nyaman full AC ada 2 lantai, klo makan di kemangi bisa pesan menu di kopi kami karena 1 managemen.",lokasi strategis tempat nyaman full ac lantai klo makan kemangi pesan menu kopi managemen,Positive,0.1143,0.8857,False,True,False,False
R005,"Kopi Kami, Untuk Kamu",Kuliner,Purwokerto Utara,"Kopi, minuman espresso based, makanan ringan, dan menu kafe",Google Maps (manual),2,"Tempatnya nyaman, adem, banyak kursi, ada mushola, harga affordable, free wifi. The best pokoknya. Semoga rame yaa...",tempat nyaman adem kursi mushola harga affordable free wifi the best pokok moga rame yaa,Positive,0.9994,0.0006,False,True,True,False
R005,"Kopi Kami, Untuk Kamu",Kuliner,Purwokerto Utara,"Kopi, minuman espresso based, makanan ringan, dan menu kafe",Google Maps (manual),3,"Tempatnya cozy banget buat makan & nongkrong mantep, tatanan interiornya suka sih keren, untuk makanannya lumayan enak",tempat cozy makan nongkrong mantep tatanan interior suka keren makan lumayan enak,Positive,0.9971,0.0029,True,False,False,False
